Data Logging Table,,,,,,,,,,,,,,,,,
Time,Mode,Freq,Lp,Ls,Cp,Cs,Rp,Rs,Z,DCR,ESR,Q,DF,Theta,,,
08/07/2021 16:23,Cs,1.00E+03,-,-,-,2.42E-11,-,-,-,-,-,1.28E+01,7.81E-02,-8.55E+01,,,
08/07/2021 16:23,Cs,1.00E+03,-,-,-,2.43E-11,-,-,-,-,-,2.75E+01,3.64E-02,-8.79E+01,,,
08/07/2021 16:23,Cs,1.00E+03,-,-,-,2.43E-11,-,-,-,-,-,2.80E+01,3.57E-02,-8.80E+01,,,
08/07/2021 16:23,Cs,1.00E+03,-,-,-,2.42E-11,-,-,-,-,-,1.20E+01,8.32E-02,-8.52E+01,,,
08/07/2021 16:23,Cs,1.00E+03,-,-,-,2.42E-11,-,-,-,-,-,1.27E+01,7.86E-02,-8.55E+01,,,
08/07/2021 16:23,Cs,1.00E+03,-,-,-,2.42E-11,-,-,-,-,-,1.30E+01,7.71E-02,-8.56E+01,,,
08/07/2021 16:23,Cs,1.00E+03,-,-,-,2.42E-11,-,-,-,-,-,1.29E+01,7.77E-02,-8.56E+01,,,
08/07/2021 16:23,Cs,1.00E+03,-,-,-,2.42E-11,-,-,-,-,-,1.27E+01,7.87E-02,-8.56E+01,,,
08/07/2021 16:23,Cs,1.00E+03,-,-,-,2.42E-11,-,-,-,-,-,1.27E+01,7.86E-02,-8.55E+01,,,
08/07/2021 16:23,Cs,1.00E+03,-,-,-,2.42E-11,-,-,-,-,-,1.26E+01,7.92E-02,-8.55E+01,,,
08/07/2021 16:23,Cs,1.00E+03,-,-,-,2.42E-11,-,-,-,-,-,1.28E+01,7.84E-02,-8.55E+01,,,
08/07/2021 16:23,Cs,1.00E+03,-,-,-,2.42E-11,-,-,-,-,-,1.30E+01,7.68E-02,-8.56E+01,,,
08/07/2021 16:23,Cs,1.00E+03,-,-,-,2.43E-11,-,-,-,-,-,2.61E+01,3.83E-02,-8.78E+01,,,
08/07/2021 16:23,Cs,1.00E+03,-,-,-,2.43E-11,-,-,-,-,-,2.79E+01,3.58E-02,-8.80E+01,,,
08/07/2021 16:23,Cs,1.00E+03,-,-,-,2.42E-11,-,-,-,-,-,1.23E+01,8.13E-02,-8.54E+01,,,
08/07/2021 16:23,Cs,1.00E+03,-,-,-,2.42E-11,-,-,-,-,-,1.25E+01,8.01E-02,-8.55E+01,,,
08/07/2021 16:23,Cs,1.00E+03,-,-,-,2.42E-11,-,-,-,-,-,1.27E+01,7.85E-02,-8.55E+01,,,
08/07/2021 16:23,Cs,1.00E+03,-,-,-,2.42E-11,-,-,-,-,-,1.25E+01,8.02E-02,-8.54E+01,,,
08/07/2021 16:23,Cs,1.00E+03,-,-,-,2.42E-11,-,-,-,-,-,1.29E+01,7.73E-02,-8.56E+01,,,
08/07/2021 16:23,Cs,1.00E+03,-,-,-,2.42E-11,-,-,-,-,-,1.26E+01,7.96E-02,-8.54E+01,,,
08/07/2021 16:23,Cs,1.00E+03,-,-,-,2.42E-11,-,-,-,-,-,1.28E+01,7.82E-02,-8.55E+01,,,
08/07/2021 16:23,Cs,1.00E+03,-,-,-,2.42E-11,-,-,-,-,-,1.30E+01,7.70E-02,-8.56E+01,,,
